Year,State,Award Amount
2011,SD,1631612
2011,TN,19754112
2011,TX,75201452
2011,UT,7340342
2011,VA,23048251
2011,VI,168352
2011,VT,3696094
2011,WA,40867466
2011,WI,23213225
2011,WV,6068010
2011,WY,338517
2010,AK,3480333
2010,AL,15958188
2010,AR,5358929
2010,AZ,35403279
2010,CA,264552158
2010,CO,19865245
2010,CT,30984751
2010,DC,19519271
2010,DE,5350441
2010,FL,77739489
2010,GA,30971103
2010,GU,1017891
2010,HI,11007239
2010,IA,8836166
2010,ID,3801250
2010,IL,90348539
2010,IN,18616457
2010,KS,8010111
2010,KY,18164220
2010,LA,28251490
2010,MA,62411876
2010,MD,47033196
2010,ME,10900777
2010,MI,60805675
2010,MN,22829169
2010,MO,27357782
2010,MS,5032017
2010,MT,2774883
2010,NC,21685387
2010,ND,1785299
2010,NE,5206638
2010,NH,5885316
2010,NJ,38623980
2010,NM,8725563
2010,NV,8752338
2010,NY,180702709
2010,OH,78130025
2010,OK,6663950
2010,OR,19405231
2010,PA,81750215
2010,PR,25668857
2010,RI,5917987
2010,SC,8801941
2010,SD,1621502
2010,TN,18869933
2010,TX,71704955
2010,UT,6384122
2010,VA,22535061
2010,VI,234290
2010,VT,3811102
2010,WA,39935212
2010,WI,22927367
2010,WV,5860292
2010,WY,338517
2009,AK,3267441
2009,AL,14821724
2009,AR,4696694
2009,AZ,34763490
2009,CA,251791388
2009,CO,18508354
2009,CT,30289050
2009,DC,19507419
2009,DE,5350424
2009,FL,73809392
2009,GA,30605129
2009,GU,889427
2009,HI,10676974
2009,IA,7737956
2009,ID,3459332
2009,IL,86635157
2009,IN,19657790
2009,KS,6060060
2009,KY,17817190
2009,LA,27435402
2009,MA,61122318
2009,MD,44198138
2009,ME,10473921
2009,MI,61109522
2009,MN,21166774
2009,MO,28000632
2009,MS,4200258
2009,MT,2436813
2009,NC,21241444
2009,ND,1774934
2009,NE,5020968
2009,NH,5546933
2009,NJ,35861619
2009,NM,8357844
2009,NV,8162626
2009,NY,171429529
2009,OH,73301779
2009,OK,6790975
2009,OR,18381644
2009,PA,82456719
2009,PR,17165961
2009,RI,5853911
2009,SC,7670201
2009,SD,1613065
2009,TN,17527418
2009,TX,71967023
2009,UT,6454074
2009,VA,20826340
2009,VI,452654
2009,VT,3489910
2009,WA,38271547
2009,WI,22863547
2009,WV,5446799
2009,WY,338517
2008,AK,3261235
2008,AL,13546940
2008,AR,4145152
2008,AZ,34272557
2008,CA,224717498
2008,CO,17788891
2008,CT,26554570
2008,DC,18828068
2008,DE,5350442
2008,FL,67181336
2008,GA,27488425
2008,GU,779815
2008,HI,9161051
2008,IA,7865497
2008,ID,3515969
2008,IL,80951883
2008,IN,11890181
2008,KS,6292629
2008,KY,15258848
2008,LA,28515396
2008,MA,59562330
2008,MD,42378749
2008,ME,9533111
2008,MI,60374554
2008,MN,19870768
2008,MO,27796402
2008,MS,4041785
2008,MT,2149136
2008,NC,13705827
2008,ND,1524362
2008,NE,5170017
2008,NH,5146084
2008,NJ,34172333
2008,NM,8276985
2008,NV,7610026
2008,NY,140667357
2008,OH,75240812
2008,OK,6040973
2008,OR,18591306
2008,PA,75283778
2008,PR,14420920
2008,RI,4737444
2008,SC,5327769
2008,SD,378848
2008,TN,15664723
2008,TX,63443673
2008,UT,3401845
2008,VA,20012777
2008,VI,487891
2008,VT,3043364
2008,WA,35584201
2008,WI,21928343
2008,WV,3152079
2008,WY,339580
2007,AK,2839638
2007,AL,13370493
2007,AR,3852161
2007,AZ,30506008
2007,CA,221326930
2007,CO,14928793
2007,CT,24600296
2007,DC,17447828
2007,DE,4877641
2007,FL,62693380
2007,GA,26314833
2007,GU,587307
2007,HI,6389113
2007,IA,7444476
2007,ID,3365048
2007,IL,75223225
2007,IN,17627889
2007,KS,6982215
2007,KY,15261379
2007,LA,24917454
2007,MA,54722892
2007,MD,39094845
2007,ME,9219303
2007,MI,50134897
2007,MN,17760101
2007,MO,22462137
2007,MS,3818384
2007,MT,2155765
2007,NC,17885707
2007,ND,1319578
2007,NE,3834015
2007,NH,4359857
2007,NJ,31829896
2007,NM,7685787
2007,NV,8500441
2007,NY,143783087
2007,OH,63402290
2007,OK,5993215
2007,OR,13136072
2007,PA,69433517
2007,PR,5330116
2007,RI,5662195
2007,SC,7707699
2007,SD,1287248
2007,TN,14267004
2007,TX,58500725
2007,UT,5407191
2007,VA,18219810
2007,VI,168424
2007,VT,2508773
2007,WA,34073514
2007,WI,20731550
2007,WV,2284015
2007,WY,337802
2006,AK,2890793
2006,AL,12504490
2006,AR,2881697
2006,AZ,28744693
2006,CA,194382024
2006,CO,13196674
2006,CT,22446941
2006,DC,16331309
2006,DE,4736426
2006,FL,56269722
2006,GA,24307375
2006,GU,372182
2006,HI,5530241
2006,IA,7249835
2006,ID,3068797
2006,IL,71978108
2006,IN,7847204
2006,KS,6132582
2006,KY,13240966
2006,LA,23040681
2006,MA,52673066
2006,MD,35810270
2006,ME,8481216
2006,MI,46959756
2006,MN,18083083
2006,MO,22803189
2006,MS,3043277
2006,MT,1839392
2006,NC,15503387
2006,ND,1335400
2006,NE,3585583
2006,NH,4606122
2006,NJ,28511721
2006,NM,7211179
2006,NV,6608886
2006,NY,126226494
2006,OH,56987838
2006,OK,5641615
2006,OR,12707015
2006,PA,55884117
2006,PR,16997503
2006,RI,4031851
2006,SC,6026640
2006,SD,364436
2006,TN,13803411
2006,TX,51669936
2006,UT,5915175
2006,VA,18334122
2006,VI,187110
2006,VT,1970945
2006,WA,31969091
2006,WI,19187960
2006,WV,3838567
