State,Overall Homeless,Year,"Total Beds ES, TH, PSH"
ID,1464,2008,2188
IL,14724,2008,23511
IN,7395,2008,10792
KS,1738,2008,3172
KY,8137,2008,7940
LA,5481,2008,7112
MA,14506,2008,22302
MD,9219,2008,10108
ME,2632,2008,4718
MI,28248,2008,18518
MN,7644,2008,13125
MO,7687,2008,9929
MS,1961,2008,2044
MT,1417,2008,1407
NC,12411,2008,11998
ND,615,2008,1199
NE,3985,2008,3463
NH,2019,2008,2345
NJ,13832,2008,9251
NM,3015,2008,3685
NV,8726,2008,7137
NY,61125,2008,88855
OH,12912,2008,20110
OK,3846,2008,3952
OR,20653,2008,14156
PA,15378,2008,25340
RI,1196,2008,2432
SC,5660,2008,4946
SD,579,2008,1636
TN,9705,2008,8869
TX,40190,2008,26323
UT,3434,2008,4882
VA,8469,2008,9493
VT,954,2008,1489
WA,21954,2008,23078
WI,5449,2008,8191
WV,2016,2008,2574
WY,751,2008,777
AL,5452,2007,6793
AR,3836,2007,4130
AZ,14646,2007,12352
CA,138986,2007,77865
CO,14225,2007,8524
CT,4482,2007,7406
DE,1061,2007,1519
FL,48069,2007,29428
GA,19639,2007,12161
IA,2734,2007,4381
ID,1749,2007,1915
IL,15487,2007,22678
IN,7358,2007,10036
KS,2111,2007,3418
KY,8061,2007,8180
LA,5494,2007,6780
MA,15127,2007,22548
MD,9628,2007,10339
ME,2638,2007,4312
MI,28295,2007,16674
MN,7323,2007,12584
MO,6247,2007,10847
MS,1377,2007,1877
MT,1150,2007,1527
NC,11802,2007,10850
ND,636,2007,1343
NE,3531,2007,3909
NH,2248,2007,2334
NJ,17314,2007,9635
NM,3015,2007,3154
NV,8642,2007,7076
NY,62601,2007,89802
OH,11264,2007,22674
OK,4221,2007,4043
OR,17590,2007,19921
PA,16220,2007,25725
RI,1372,2007,2399
SC,5660,2007,4742
SD,579,2007,1714
TN,11210,2007,8908
TX,39788,2007,25682
UT,3011,2007,4579
VA,9746,2007,9616
VT,1035,2007,1364
WA,23379,2007,23197
WI,5648,2007,7980
WV,2409,2007,2385
WY,537,2007,796
